"name_age","match_name","full_name","marathon","year","date","time","time_minutes","vaporfly"
"Kiya Dandena (M28)","KIYA DANDENA","KIYA DANDENA","Cal Intl Marathon",2017,"2017-12-03","2:12:56",132.933333333333,FALSE
"Samuel Kosgei (M33)","SAMUEL KOSGEI","SAMUEL KOSGEI","Cal Intl Marathon",2017,"2017-12-03","2:13:25",133.416666666667,TRUE
"Malcolm Richards (M35)","MALCOLM RICHARDS","MALCOLM RICHARDS","Cal Intl Marathon",2017,"2017-12-03","2:13:28",133.466666666667,FALSE
"Craig Leon (M33)","CRAIG LEON","CRAIG LEON","Cal Intl Marathon",2017,"2017-12-03","2:13:41",133.683333333333,FALSE
"Christopher Zablocki (M29)","CHRISTOPHER ZABLOCKI","CHRISTOPHER ZABLOCKI","Cal Intl Marathon",2017,"2017-12-03","2:13:45",133.75,FALSE
"Tim Young (M30)","TIMOTHY YOUNG","TIM YOUNG","Cal Intl Marathon",2017,"2017-12-03","2:14:14",134.233333333333,FALSE
"Nathan Martin (M27)","NATHAN MARTIN","NATHAN MARTIN","Cal Intl Marathon",2017,"2017-12-03","2:14:33",134.55,FALSE
"David Sinclair (M25)","DAVID SINCLAIR","DAVID SINCLAIR","Cal Intl Marathon",2017,"2017-12-03","2:16:17",136.283333333333,FALSE
"Eric Finan (M28)","ERIC FINAN","ERIC FINAN","Cal Intl Marathon",2017,"2017-12-03","2:16:42",136.7,FALSE
"Gregory Leak (M29)","GREGORY LEAK","GREGORY LEAK","Cal Intl Marathon",2017,"2017-12-03","2:16:56",136.933333333333,TRUE
"Fernando Cabada (M35)","FERNANDO CABADA","FERNANDO CABADA","Cal Intl Marathon",2017,"2017-12-03","2:17:07",137.116666666667,FALSE
"Patrick Rizzo (M34)","PATRICK RIZZO","PATRICK RIZZO","Cal Intl Marathon",2017,"2017-12-03","2:17:27",137.45,FALSE
"Eric Loeffler (M40)","ERIC LOEFFLER","ERIC LOEFFLER","Cal Intl Marathon",2017,"2017-12-03","2:17:34",137.566666666667,TRUE
"Mason Frank (M28)","MASON FRANK","MASON FRANK","Cal Intl Marathon",2017,"2017-12-03","2:17:39",137.65,FALSE
"Matthew Fecht (M34)","MATTHEW FECHT","MATTHEW FECHT","Cal Intl Marathon",2017,"2017-12-03","2:17:40",137.666666666667,FALSE
"Chris Chavez (M31)","CHRIS CHAVEZ","CHRIS CHAVEZ","Cal Intl Marathon",2017,"2017-12-03","2:18:01",138.016666666667,FALSE
"Steven Tyler Underwood (M30)","STEVEN TYLER UNDERWOOD","STEVEN TYLER UNDERWOOD","Cal Intl Marathon",2017,"2017-12-03","2:18:20",138.333333333333,FALSE
"Eric Ashe (M29)","ERIC ASHE","ERIC ASHE","Cal Intl Marathon",2017,"2017-12-03","2:19:06",139.1,FALSE
"Brian Harvey (M30)","BRIAN HARVEY","BRIAN HARVEY","Cal Intl Marathon",2017,"2017-12-03","2:19:18",139.3,FALSE
"Matt Hensley (M30)","MATT HENSLEY","MATT HENSLEY","Cal Intl Marathon",2017,"2017-12-03","2:22:08",142.133333333333,FALSE
"Eric Noel (M30)","ERIC NOEL","ERIC NOEL","Cal Intl Marathon",2017,"2017-12-03","2:23:12",143.2,FALSE
"Joseph Elsakr (M27)","JOSEPH ELSAKR","JOSEPH ELSAKR","Cal Intl Marathon",2017,"2017-12-03","2:23:17",143.283333333333,FALSE
"Nicholas Arciniaga (M34)","NICHOLAS ARCINIAGA","NICHOLAS ARCINIAGA","Cal Intl Marathon",2017,"2017-12-03","2:26:41",146.683333333333,FALSE
"Philippe Viau-Dupuis (M35)","PHILIPPE VIAU-DUPUIS","PHILIPPE VIAU-DUPUIS","Cal Intl Marathon",2017,"2017-12-03","2:34:04",154.066666666667,FALSE
"Michael Wardian (M43)","MICHAEL WARDIAN","MICHAEL WARDIAN","Cal Intl Marathon",2017,"2017-12-03","2:38:17",158.283333333333,FALSE
"Matt Llano (M30)","MATT LLANO","MATT LLANO","Cal Intl Marathon",2018,"2018-12-02","2:13:00",133,FALSE
"Brendan Gregg (M29)","BRENDAN GREGG","BRENDAN GREGG","Cal Intl Marathon",2018,"2018-12-02","2:13:28",133.466666666667,FALSE
"Nathan Martin (M28)","NATHAN MARTIN","NATHAN MARTIN","Cal Intl Marathon",2018,"2018-12-02","2:14:33",134.55,FALSE
"Samuel Kosgei (M34)","SAMUEL KOSGEI","SAMUEL KOSGEI","Cal Intl Marathon",2018,"2018-12-02","2:15:04",135.066666666667,TRUE
"Malcolm Richards (M36)","MALCOLM RICHARDS","MALCOLM RICHARDS","Cal Intl Marathon",2018,"2018-12-02","2:16:48",136.8,TRUE
"Brian Harvey (M31)","BRIAN HARVEY","BRIAN HARVEY","Cal Intl Marathon",2018,"2018-12-02","2:17:48",137.8,TRUE
"Dylan Belles (M25)","DYLAN BELLES","DYLAN BELLES","Cal Intl Marathon",2018,"2018-12-02","2:18:11",138.183333333333,TRUE
"Jason Simpson (M34)","JASON SIMPSON","JASON SIMPSON","Cal Intl Marathon",2018,"2018-12-02","2:18:41",138.683333333333,TRUE
"Ramiro Guillen (M36)","RAMIRO GUILLEN","RAMIRO GUILLEN","Cal Intl Marathon",2018,"2018-12-02","2:18:50",138.833333333333,TRUE
"Kieran O'Connor (M31)","KIERAN O'CONNOR","KIERAN O'CONNOR","Cal Intl Marathon",2018,"2018-12-02","2:18:52",138.866666666667,FALSE
"Ryan Cosens (M29)","RYAN COSENS","RYAN COSENS","Cal Intl Marathon",2018,"2018-12-02","2:18:55",138.916666666667,FALSE
"Matt Hensley (M31)","MATT HENSLEY","MATT HENSLEY","Cal Intl Marathon",2018,"2018-12-02","2:20:43",140.716666666667,TRUE
"Eric Ashe (M30)","ERIC ASHE","ERIC ASHE","Cal Intl Marathon",2018,"2018-12-02","2:21:05",141.083333333333,FALSE
