"match_name","full_name","marathon","year","vaporfly"
"SAMMY NDUNGU","SAMMY NDUNGU","Chicago Marathon",2015,FALSE
"GIRMAY BIRHANU GEBRU","GIRMAY BIRHANU GEBRU","Chicago Marathon",2015,FALSE
"LUKE PUSKEDRA","LUKE PUSKEDRA","Chicago Marathon",2015,FALSE
"WESLEY KORIR","WESLEY KORIR","Chicago Marathon",2015,FALSE
"ELKANAH KIBET","ELKANAH KIBET","Chicago Marathon",2015,FALSE
"LUCAS ROTICH","LUCAS ROTICH","Chicago Marathon",2015,FALSE
"ABERA KUMA","ABERA KUMA","Chicago Marathon",2015,FALSE
"FERNANDO CABADA","FERNANDO CABADA","Chicago Marathon",2015,FALSE
"LIAM ADAMS","LIAM ADAMS","Chicago Marathon",2015,FALSE
"MALCOLM RICHARDS","MALCOLM RICHARDS","Chicago Marathon",2015,FALSE
"SCOTT WIETECHA","SCOTT WIETECHA","Chicago Marathon",2015,FALSE
"ROB WATSON","ROB WATSON","Chicago Marathon",2015,FALSE
"TONY MIGLIOZZI","TONY MIGLIOZZI","Chicago Marathon",2015,FALSE
"CHRIS LEMON","CHRIS LEMON","Chicago Marathon",2015,FALSE
"ZACH RIPLEY","ZACH RIPLEY","Chicago Marathon",2015,FALSE
"SCOTT MACPHERSON","SCOTT MACPHERSON","Chicago Marathon",2015,FALSE
"ETHAN SHAW","ETHAN SHAW","Chicago Marathon",2015,FALSE
"PATRICK GEOGHEGAN","PATRICK GEOGHEGAN","Chicago Marathon",2015,FALSE
"SATOSHI YOSHII","SATOSHI YOSHII","Chicago Marathon",2015,FALSE
"SHOGO KANEZANE","SHOGO KANEZANE","Chicago Marathon",2015,FALSE
"ADAM BOHACH","ADAM BOHACH","Chicago Marathon",2015,FALSE
"CESAR LIZANO","CESAR LIZANO","Chicago Marathon",2015,FALSE
"KEVIN HAVEL","KEVIN HAVEL","Chicago Marathon",2015,FALSE
"DONOVAN FELLOWS","DONOVAN FELLOWS","Chicago Marathon",2015,FALSE
"TYLER JERMANN","TYLER JERMANN","Chicago Marathon",2015,FALSE
"ANDY WILLIAMS","ANDY WILLIAMS","Chicago Marathon",2015,FALSE
"BRANDON MULL","BRANDON MULL","Chicago Marathon",2015,FALSE
"MOHAMED HREZI","MOHAMED HREZI","Chicago Marathon",2015,FALSE
"RYAN MCGUIRE","RYAN MCGUIRE","Chicago Marathon",2015,FALSE
"RAMIRO GUILLEN","RAMIRO GUILLEN","Chicago Marathon",2015,FALSE
"CHRISTOPHER PANNONE","CHRISTOPHER PANNONE","Chicago Marathon",2015,FALSE
"MATT BARRETT","MATT BARRETT","Chicago Marathon",2015,FALSE
"NICK EDINGER","NICK EDINGER","Chicago Marathon",2015,FALSE
"ABEL KIRUI","ABEL KIRUI","Chicago Marathon",2016,FALSE
"DICKSON CHUMBA","DICKSON CHUMBA","Chicago Marathon",2016,FALSE
"GIDEON KIPKETER","GIDEON KIPKETER","Chicago Marathon",2016,FALSE
"PAUL LONYANGATA","PAUL LONYANGATA","Chicago Marathon",2016,FALSE
"STEPHEN SAMBU","STEPHEN SAMBU","Chicago Marathon",2016,FALSE
"ABAYNEH AYELE","ABAYNEH AYELE","Chicago Marathon",2016,FALSE
"TAKUYA FUKATSU","TAKUYA FUKATSU","Chicago Marathon",2016,FALSE
"DIEGO ESTRADA","DIEGO ESTRADA","Chicago Marathon",2016,FALSE
"KOJI GOKAYA","KOJI GOKAYA","Chicago Marathon",2016,FALSE
"ELKANAH KIBET","ELKANAH KIBET","Chicago Marathon",2016,FALSE
"TIMOTHY YOUNG","TIM YOUNG","Chicago Marathon",2016,FALSE
"ANDREW EPPERSON","ANDREW EPPERSON","Chicago Marathon",2016,FALSE
"SCOTT OVERALL","SCOTT OVERALL","Chicago Marathon",2016,FALSE
"RYOICHI MATSUO","RYOICHI MATSUO","Chicago Marathon",2016,FALSE
"TONY MIGLIOZZI","TONY MIGLIOZZI","Chicago Marathon",2016,FALSE
"TOM ANDERSON","TOM ANDERSON","Chicago Marathon",2016,FALSE
"DANIEL WALLIS","DANIEL WALLIS","Chicago Marathon",2016,FALSE
"MICAH KOGO","MICAH KOGO","Chicago Marathon",2016,FALSE
"LUKE PUSKEDRA","LUKE PUSKEDRA","Chicago Marathon",2016,FALSE
"JONATHAN MOTT","JONATHAN MOTT","Chicago Marathon",2016,FALSE
"DAVID NILSSON","DAVID NILSSON","Chicago Marathon",2016,FALSE
"MENG-TSUNG CHU","MENG-TSUNG CHU","Chicago Marathon",2016,FALSE
"KIYA DANDENA","KIYA DANDENA","Chicago Marathon",2016,FALSE
"MIZAEL CARRERA","MIZAEL CARRERA","Chicago Marathon",2016,FALSE
"KAZUYA ISHIDA","KAZUYA ISHIDA","Chicago Marathon",2016,FALSE
"CONNOR MCMILLAN","CONNOR MCMILLAN","Chicago Marathon",2016,FALSE
"TRAVIS MORRISON","TRAVIS MORRISON","Chicago Marathon",2016,FALSE
"DUSTIN EMERICK","DUSTIN EMERICK","Chicago Marathon",2016,FALSE
"ANDY WILLIAMS","ANDY WILLIAMS","Chicago Marathon",2016,FALSE
"MICHAEL WARDIAN","MICHAEL WARDIAN","Chicago Marathon",2016,FALSE
"JOSE MADERA","JOSE MADERA","Chicago Marathon",2016,FALSE
"GALEN RUPP","GALEN RUPP","Chicago Marathon",2017,TRUE
"ABEL KIRUI","ABEL KIRUI","Chicago Marathon",2017,TRUE
"BERNARD KIPYEGO","BERNARD KIPYEGO","Chicago Marathon",2017,NA
"STEPHEN SAMBU","STEPHEN SAMBU","Chicago Marathon",2017,TRUE
"AARON BRAUN","AARON BRAUN","Chicago Marathon",2017,FALSE
"DIEGO ESTRADA","DIEGO ESTRADA","Chicago Marathon",2017,FALSE
"RYOICHI MATSUO","RYOICHI MATSUO","Chicago Marathon",2017,FALSE
"LUKE PUSKEDRA","LUKE PUSKEDRA","Chicago Marathon",2017,TRUE
"ALAN PETERSON","ALAN PETERSON","Chicago Marathon",2017,FALSE
"KEVIN HAVEL","KEVIN HAVEL","Chicago Marathon",2017,FALSE
"TRAVIS MORRISON","TRAVIS MORRISON","Chicago Marathon",2017,NA
"CHRIS LEMON","CHRIS LEMON","Chicago Marathon",2017,NA
"GALEN RUPP","GALEN RUPP","Chicago Marathon",2018,TRUE
"ABEL KIRUI","ABEL KIRUI","Chicago Marathon",2018,TRUE
"ELKANAH KIBET","ELKANAH KIBET","Chicago Marathon",2018,TRUE
"AARON BRAUN","AARON BRAUN","Chicago Marathon",2018,FALSE
"BERNARD KIPYEGO","BERNARD KIPYEGO","Chicago Marathon",2018,FALSE
"YUKI KAWAUCHI","YUKI KAWAUCHI","Chicago Marathon",2018,FALSE
"ANDREW EPPERSON","ANDREW EPPERSON","Chicago Marathon",2018,NA
"ALAN PETERSON","ALAN PETERSON","Chicago Marathon",2018,NA
"PARDON NDHLOVU","PARDON NDHLOVU","Chicago Marathon",2018,NA
"KIYA DANDENA","KIYA DANDENA","Chicago Marathon",2018,TRUE
"MAKOROBONDO SALUKOMBO","MAKOROBONDO SALUKOMBO","Chicago Marathon",2018,FALSE
"ADAM BOHACH","ADAM BOHACH","Chicago Marathon",2018,FALSE
"KEVIN HAVEL","KEVIN HAVEL","Chicago Marathon",2018,TRUE
"PATRICK RIZZO","PATRICK RIZZO","Chicago Marathon",2018,FALSE
"DICKSON CHUMBA","DICKSON CHUMBA","Chicago Marathon",2019,TRUE
"JACOB RILEY","JACOB RILEY","Chicago Marathon",2019,TRUE
"SCOTT SMITH","SCOTT SMITH","Chicago Marathon",2019,FALSE
"BRENDAN GREGG","BRENDAN GREGG","Chicago Marathon",2019,FALSE
"DIEGO ESTRADA","DIEGO ESTRADA","Chicago Marathon",2019,FALSE
"ALAN PETERSON","ALAN PETERSON","Chicago Marathon",2019,TRUE
"KEVIN HAVEL","KEVIN HAVEL","Chicago Marathon",2019,TRUE
"MICHAEL EATON","MICHAEL EATON","Chicago Marathon",2019,NA
"RAMIRO GUILLEN","RAMIRO GUILLEN","Chicago Marathon",2019,TRUE
"ZACH RIPLEY","ZACHARY RIPLEY","Chicago Marathon",2019,TRUE
"MENG-TSUNG CHU","MENG-TSUNG CHU","Chicago Marathon",2019,FALSE
"JULIUS KOSKEI","JULIUS KOSKEI","Columbus Marathon",2015,FALSE
"HILARY TOO","HILLARY TOO","Columbus Marathon",2015,FALSE
"JASON ORDWAY","JASON ORDWAY","Columbus Marathon",2015,FALSE
"FIKADU GIRMA TETERI","FIKADU GIRMA TETERI","Columbus Marathon",2016,FALSE
"CHRIS LEMON","CHRIS LEMON","Columbus Marathon",2016,FALSE
"MESHACK KIRWA","MESHACK KIRWA","Columbus Marathon",2016,FALSE
